Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8438053_1	(1.0, 6.228861330326945)	(2.0, 2.1209131905298757)	(3.0, 1.1097801578354003)	(4.0, 0.8737316798196167)	(5.0, 0.8631623449830891)	(6.0, 0.4650507328072154)	(7.0, 0.5918827508455468)	(8.0, 0.9019165727170236)	(9.0, 0.6341600901916573)	('>10', 17.08356820744081)	('>50', 8.321589627959414)	('>100', 15.66727733934611)	('>500', 4.164317925591883)	('>1k', 7.768461104847802)	('>5k', 33.20532694475761)	('>10k+', 0.0)
SRR8438053_2	(1.0, 11.31271138669673)	(2.0, 2.3886696730552424)	(3.0, 1.3423055242390078)	(4.0, 1.0287485907553553)	(5.0, 0.7222378804960542)	(6.0, 0.7609921082299886)	(7.0, 0.9124859075535513)	(8.0, 1.2683201803833146)	(9.0, 0.8878241262683202)	('>10', 18.8521702367531)	('>50', 8.30749718151071)	('>100', 17.872745208568208)	('>500', 4.766770011273957)	('>1k', 5.263528748590756)	('>5k', 24.312993235625704)	('>10k+', 0.0)
SRR8438054	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438054_1	(1.0, 17.433658045011757)	(2.0, 5.777628485052066)	(3.0, 3.4262680550890154)	(4.0, 3.359086328518643)	(5.0, 3.6949949613705075)	(6.0, 1.6123614376889486)	(7.0, 1.8810883439704402)	(8.0, 2.6872690628149143)	(9.0, 1.5115888478333892)	('>10', 36.00940544171985)	('>50', 18.777292576419214)	('>100', 3.8293584145112534)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438054_2	(1.0, 34.531407457171646)	(2.0, 3.896540141081626)	(3.0, 1.6123614376889486)	(4.0, 2.6872690628149143)	(5.0, 1.6795431642593215)	(6.0, 1.2092710782667115)	(7.0, 1.8810883439704402)	(8.0, 0.26872690628149143)	(9.0, 1.2092710782667115)	('>10', 29.492777964393685)	('>50', 10.010077258985556)	('>100', 11.521666106818945)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438055	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438055_1	(1.0, 4.370673252095057)	(2.0, 1.0023885672644832)	(3.0, 0.6412695842273592)	(4.0, 0.38864823286506617)	(5.0, 0.40889032832678834)	(6.0, 0.3983644386866929)	(7.0, 0.24938261608841747)	(8.0, 0.2850087041010485)	(9.0, 0.24776324845147968)	('>10', 6.111493461803166)	('>50', 3.135905428930003)	('>100', 5.7171774422088175)	('>500', 1.5375895712724181)	('>1k', 11.59791101574835)	('>5k', 0.0)	('>10k+', 63.90753410793085)
SRR8438055_2	(1.0, 10.963118902068743)	(2.0, 1.7505364155297358)	(3.0, 1.0930731549329986)	(4.0, 0.7675802599085058)	(5.0, 0.6275049593133881)	(6.0, 0.4518035707056394)	(7.0, 0.40808064450831955)	(8.0, 0.33682846848305736)	(9.0, 0.36435771831099956)	('>10', 6.7211853771102374)	('>50', 3.517266507428849)	('>100', 6.7738148253107155)	('>500', 1.5068215861706005)	('>1k', 22.944820047771344)	('>5k', 0.0)	('>10k+', 41.77320756244686)
SRR8438056	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438056_1	(1.0, 6.5101273395436285)	(2.0, 2.13656952397231)	(3.0, 1.5126912229723954)	(4.0, 1.1879326553286045)	(5.0, 0.7477993333903086)	(6.0, 0.6794291086231946)	(7.0, 0.6879753867190838)	(8.0, 0.41022134860268356)	(9.0, 0.365353388599265)	('>10', 5.73455260234168)	('>50', 1.5938808648833434)	('>100', 12.285274762840782)	('>500', 12.31945987522434)	('>1k', 29.230407657465175)	('>5k', 0.0)	('>10k+', 24.598324929493206)
SRR8438056_2	(1.0, 14.537219041107596)	(2.0, 2.5254251773352703)	(3.0, 1.6408853944107342)	(4.0, 1.2648491581916075)	(5.0, 0.7905307238697546)	(6.0, 0.6794291086231946)	(7.0, 0.613195453380053)	(8.0, 0.6495171352875823)	(9.0, 0.44226989146226814)	('>10', 5.644816682334843)	('>50', 2.010511922057944)	('>100', 15.470899923083497)	('>500', 14.229553029655584)	('>1k', 19.451328946243912)	('>5k', 20.049568412956155)	('>10k+', 0.0)
SRR8438057	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438057_1	(1.0, 4.40472017759084)	(2.0, 1.1403201308564084)	(3.0, 0.6729758149316508)	(4.0, 0.5561397359504615)	(5.0, 0.43813529617946023)	(6.0, 0.3785488958990536)	(7.0, 0.36803364879074657)	(8.0, 0.30844724851034)	(9.0, 0.2523659305993691)	('>10', 6.533473536628111)	('>50', 3.710713868442575)	('>100', 6.438836312653347)	('>500', 0.0)	('>1k', 13.563500408926277)	('>5k', 8.455427035868675)	('>10k+', 52.77836195817268)
SRR8438057_2	(1.0, 8.786073139385442)	(2.0, 1.5913073957237993)	(3.0, 0.9498773221170699)	(4.0, 0.738404019161117)	(5.0, 0.6659656501927795)	(6.0, 0.4977216964598668)	(7.0, 0.3762121743194298)	(8.0, 0.3458347937843206)	(9.0, 0.3470031545741325)	('>10', 6.589554854539081)	('>50', 2.696576702885851)	('>100', 8.863184951513027)	('>500', 1.0772286482065663)	('>1k', 18.88888888888889)	('>5k', 0.0)	('>10k+', 47.586166608248625)
SRR8438058	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438058_1	(1.0, 4.5359281437125745)	(2.0, 1.2849301397205588)	(3.0, 0.6212574850299402)	(4.0, 0.37425149700598803)	(5.0, 0.31187624750499005)	(6.0, 0.32934131736526945)	(7.0, 0.3143712574850299)	(8.0, 0.16966067864271456)	(9.0, 0.24700598802395213)	('>10', 6.337325349301397)	('>50', 5.071107784431137)	('>100', 7.765718562874252)	('>500', 6.047904191616767)	('>1k', 9.553393213572853)	('>5k', 0.0)	('>10k+', 57.035928143712574)
SRR8438058_2	(1.0, 11.682884231536926)	(2.0, 1.7390219560878246)	(3.0, 0.93562874251497)	(4.0, 0.6586826347305389)	(5.0, 0.467814371257485)	(6.0, 0.3143712574850299)	(7.0, 0.3231037924151697)	(8.0, 0.3393213572854291)	(9.0, 0.3143712574850299)	('>10', 7.17814371257485)	('>50', 6.0279441117764465)	('>100', 8.846057884231536)	('>500', 6.639221556886228)	('>1k', 4.260229540918163)	('>5k', 0.0)	('>10k+', 50.273203592814376)
SRR8438059	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438059_1	(1.0, 7.251113794395636)	(2.0, 1.7487612940833577)	(3.0, 1.0867302327518007)	(4.0, 0.757796560769455)	(5.0, 0.7390598326185618)	(6.0, 0.5121372361244119)	(7.0, 0.40804430195278346)	(8.0, 0.3664071282841321)	(9.0, 0.18736728150893117)	('>10', 7.47179081483949)	('>50', 4.053378856643211)	('>100', 11.727109963775659)	('>500', 4.536370071199567)	('>1k', 16.16146895948703)	('>5k', 12.588999458716742)	('>10k+', 30.40346421284923)
