Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,FishID,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,Sample Name,SRA Study
SRR8438074,AMPLICON,501,53587894,PRJNA514914,SAMN10737192,Metagenome or environmental,38754627,NOVA SOUTHEASTERN UNIVERSITY,8/17/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245600,CC79.1,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Caruncles,28.5154 N 87.5308 W,CC79.1.C,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC79.1.C,SRP178885
SRR8438075,AMPLICON,501,6281597,PRJNA514914,SAMN10737193,Metagenome or environmental,4631268,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245599,CC71.N0,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Esca,26.9319 N 89.4316 W,CC71.N0.ESCA,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N0.ESCA,SRP178885
SRR8438076,AMPLICON,501,34126731,PRJNA514914,SAMN10737194,Metagenome or environmental,24175842,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245598,CC71.N0,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,fin,26.9319 N 89.4316 W,CC71.N0.FIN,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N0.FIN,SRP178885
SRR8438077,AMPLICON,501,40538238,PRJNA514914,SAMN10737195,Metagenome or environmental,29350145,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245597,CC71.N0,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,gills,26.9319 N 89.4316 W,CC71.N0.GILL,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N0.GILL,SRP178885
SRR8438078,AMPLICON,501,43090905,PRJNA514914,SAMN10737205,Metagenome or environmental,31110028,NOVA SOUTHEASTERN UNIVERSITY,8/14/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245596,CC73,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Esca,27.5194 N 88.9960 W,CC73.ESCA,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC73.ESCA,SRP178885
SRR8438079,AMPLICON,501,46284179,PRJNA514914,SAMN10737204,Metagenome or environmental,31058153,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245595,CC71.N3,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,skin,26.9319 N 89.4316 W,CC71.N3.SKIN,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N3.SKIN,SRP178885
SRR8438080,AMPLICON,501,50706354,PRJNA514914,SAMN10737201,Metagenome or environmental,34042493,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245594,CC71.N3,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,fin,26.9319 N 89.4316 W,CC71.N3.FIN,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N3.FIN,SRP178885
SRR8438081,AMPLICON,501,56056525,PRJNA514914,SAMN10737200,Metagenome or environmental,38205832,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245593,CC71.N3,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Esca,26.9319 N 89.4316 W,CC71.N3.ESCA,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N3.ESCA,SRP178885
SRR8438082,AMPLICON,501,59994278,PRJNA514914,SAMN10737203,Metagenome or environmental,40112009,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245592,CC71.N3,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Guts,26.9319 N 89.4316 W,CC71.N3.GUT,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N3.GUT,SRP178885
SRR8438083,AMPLICON,501,60827162,PRJNA514914,SAMN10737202,Metagenome or environmental,39994662,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245591,CC71.N3,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,gills,26.9319 N 89.4316 W,CC71.N3.GILL,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N3.GILL,SRP178885
SRR8438084,AMPLICON,501,16117260,PRJNA514914,SAMN10737197,Metagenome or environmental,11728813,NOVA SOUTHEASTERN UNIVERSITY,8/17/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245590,CC79.1,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Illicium,28.5154 N 87.5308 W,CC79.1.I,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC79.1.I,SRP178885
SRR8438085,AMPLICON,501,21638106,PRJNA514914,SAMN10737196,Metagenome or environmental,15785108,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245589,CC71.N0,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Guts,26.9319 N 89.4316 W,CC71.N0.GUT,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N0.GUT,SRP178885
SRR8438086,AMPLICON,501,16531935,PRJNA514914,SAMN10737199,Metagenome or environmental,12052453,NOVA SOUTHEASTERN UNIVERSITY,8/17/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245588,CC79.2,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Caruncles,28.5154 N 87.5308 W,CC79.2.C,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC79.2.C,SRP178885
